"Index","Close.0019.HK","Close.0025.HK","Close.0043.HK","Close.0053.HK","Close.0055.HK","Close.0087.HK","Close.0114.HK","Close.0142.HK","Close.0174.HK","Close.0242.HK","Close.0260.HK","Close.0270.HK","Close.0383.HK","Close.0459.HK","Close.0656.HK","Close.0701.HK","Close.0715.HK","Close.1026.HK","Close.1191.HK","Close.1193.HK","Close.1196.HK","Close.1435.TW","Close.1504.TW","Close.2371.TW","Close.3027.TW","Close.3MINDIA.NS","Close.8092.HK","Close.ABIRLANUV.NS","Close.ALCHEM.NS","Close.ALTRI.PA","Close.ARTO.PA","Close.AXON.AT","Close.BALMLAWRI.NS","Close.BCG.V","Close.BEEYU.BO","Close.BEML.BO","Close.BEML.NS","Close.BI.PA","Close.BMMCF","Close.BURE.ST","Close.CADO.BA","Close.CEXE","Close.CFC.DE","Close.CHA.L","Close.CHHATTIND.BO","Close.CIEM.PA","Close.CNWHF","Close.CODI","Close.COME.BA","Close.DCMSRMCON.NS","Close.DLYT","Close.ESGI","Close.ESWB","Close.FCIC","Close.FNSI","Close.FORE.PA","Close.GBA.AX","Close.GOI-H.V","Close.GPG.L","Close.GPG.NZ","Close.GREENFIRE.NS","Close.HNG.AX","Close.HRG","Close.HWC.L","Close.IEP","Close.IHC.L","Close.J36.SI","Close.J37.SI","Close.JML.V","Close.KOATOOLIN.BO","Close.KSW.DE","Close.LAX.PA","Close.LPTC","Close.MAGAA","Close.MANAKSIA.BO","Close.MANAKSIA.NS","Close.MAVIIND.BO","Close.MBC.L","Close.MCDHOLDIN.NS","Close.MEVA.AT","Close.MIDW-B.ST","Close.MIR.AX","Close.MLNEI.PA","Close.MLT.AX","Close.MMAM","Close.MONC.PA","Close.MOP.BR","Close.MOPF.BR","Close.MTV.V","Close.N21.SI","Close.NETWORK.BO","Close.OCX.TO","Close.ODET.PA","Close.OPA.V","Close.OPBL","Close.PET.V","Close.PGRD","Close.PHOT","Close.PICO","Close.PRD.V","Close.RES.TO","Close.REX","Close.RHL.AX","Close.SCHO.CO","Close.SEB","Close.SOL.AX","Close.SVS.V","Close.SVW.AX","Close.TEXF.BR","Close.TRS.NZ","Close.U04.SI","Close.U96.SI","Close.VCMG","Close.VSVS.L","Close.YOW.AX"
2008-01-01,81.8220963577458,4.70235473084976,0.288252643847651,83.5556624780201,2.48395765947474,15.5030486004754,0.56250740551181,4.60636306267834,0.798403189971014,9.45583094295429,0.31096,3.39871505983069,0.00717860003884552,0.081,5.91827106800903,0.220668859649123,0.351215930227544,0.295813421057815,3.648,12.2530138343957,0.352041721369609,5.25,12.8853430506071,15.7499,17.6103708342999,2300,0.125,1936.60498256899,69.662544391299,20.8,2508.77509517543,9.56,235.207034266051,3,17.6,1545.79976076114,1545.75804391024,70.99,0.015,34.6980949525641,6.05409716090445,7.99139784946237,12.32,51,7.7,7.98222339096853,7.22,6.86866461741009,0.64,81.3515362337173,0.3,0.25,0.1,0.22039603960396,0.16,373.285549286454,0.057,1.2,58.8460283713318,1.42553058382499,580.728768417076,0.98349778110108,7.10291702309666,14,96.7150273442974,87.5,22.471406951539,14.5899822631651,0.18,1.56,5.85,0.09,0.52,0.3,163.327444815737,143.140514046958,30.7,260276.210755423,357,2.53,53.7318565176607,2.35,2.547149537968,4.596,0,2376.90463859591,325,6849.99,0.1,2.17925517640741,76.05,33.9686371484359,296.009546154496,26.5,0.08,0.23,17.09829,0.505,33.490002,0.55,1.22,15.77,2.21022692320312,370.846561668935,1448.27478314548,6.36568773127633,0.35,9.1710361649036,7.75438548762943,0.002,2.62405130325094,4.58975230859983,0.31,40.2082203906292,10.5
2008-01-02,82.4304390815952,4.76113416498539,0.296375031267248,83.7179064828318,2.44405472518599,15.6531991922476,0.541864931915046,4.5531545863859,0.815390491885291,9.17815784397227,0.31096,3.46745311722052,0.00351864130971335,0.081,6.55764755298095,0.242735745614035,0.363326824373321,0.300508872185717,3.648,13.2490088160773,0.366123390224393,5.4,12.5274168547569,15.9999,17.6103708342999,2365,0.102,2058.53937036037,70.0023616810127,20.7,2425.46844125167,9.52,236.994214523224,3,18.45,1605.08572805621,1596.99537671868,69.51,0.015,34.7896466542859,5.98159289474951,7.99139784946237,12.4,50.5,7.7,7.93166743704965,7.22,6.68900135779977,0.605,80.7250667577701,0.3,0.25,0.1,0.22039603960396,0.16,373.285549286454,0.08,1.2,58.8460283713318,1.42553058382499,572.938080846241,0.98349778110108,7.12240376390077,14,97.9145863600852,87.5,22.7147795900033,14.7758419098296,0.17,1.63,6.04,0.09,0.52,0.3,163.327444815737,143.140514046958,32.2,260276.210755423,368,2.57,56.260414471433,2.37,2.19446729424935,4.514,0,2217.2974513641,325,5700,0.1,2.16132464332504,79.8,34.0852372193833,296.009546154496,24.5,0.1,0.23,17.09829,0.505,32.700001,0.58,1.25,15.33,2.15834592334664,375.440381689609,1455.17132973188,6.23364835693763,0.35,9.29970229971908,7.91460006382012,0.002,2.61016890118033,4.55809884440259,0.31,405.000542483031,11.4
2008-01-03,79.2366397813858,4.58479586257852,0.304497418686846,81.9332224299032,2.29441872160317,15.3153603607603,0.552186168713428,4.46193420401233,0.806896840928152,9.25533296087536,0.3159,3.45981555528832,0.00694339587411166,0.078,6.50027013771425,0.229495614035088,0.357271377300433,0.291117969929914,3.154,12.9593125604212,0.352041721369609,5.3,12.1694906589067,15.6999,17.0257878721492,2398,0.104,1994.94221908095,68.9829098118717,20.69,2488.66659250418,9.4,234.099201985508,3.8,19.2,1591.26445960705,1577.58247422604,70.5,0.015,34.6980949525641,5.93627772840267,7.99139784946237,12.05,51.25,7.7,7.98222339096853,7.25,6.7212486095247,0.6,79.3826321664546,0.3,0.25,0.1,0.22039603960396,0.16,373.285549286454,0.08,1.2,58.8460283713318,1.39275976580603,555.768794862108,0.98349778110108,7.06394354148845,14,99.2266198013525,85,22.6823299048748,14.6457401571644,0.19,1.71,6.04,0.06,0.52,0.3,163.327444815737,143.140514046958,33.8,260276.210755423,379.85,2.57,57.1032671226904,2.33,2.50796262199926,4.522,0,2245.96940116622,325,6400,0.1,2.04473289570253,75.7,34.0075038387517,290.069555261764,26,0.11,0.23,17.09829,0.505,33.759998,0.61,1.36,16.040001,2.2489064280017,370.428941667055,1448.27478314548,6.28229444222031,0.35,9.2425173509122,8.07417378170605,0.001,2.60322770014503,4.43148498761363,0.31,393.751814159462,10.5
2008-01-04,82.2783534006329,4.76113416498539,0.312611432511165,82.7444424539616,2.30439445517536,15.6907368401906,0.552186168713428,4.41632810893611,0.798403189971014,9.25533296087536,0.30109,3.43690286949171,0.00706099795647859,0.081,6.21336664438068,0.229495614035088,0.357271377300433,0.305204323313619,3.388,13.1527351359499,0.352041721369609,5.33,12.3285689681734,16.6999,17.1353227354964,2465,0.104,2139.35078815152,67.4962091693745,20.69,2441.74675293792,9.36,233.419854008878,3.5,18.3,1635.41068218644,1623.04594610575,68.53,0.015,33.8741296370679,5.91815166186393,7.99139784946237,12.05,47.5,7.7,7.98222339096853,7.23,6.71203510903186,0.599,80.0538494621123,0.4,0.25,0.1,0.22039603960396,0.16,373.285549286454,0.08,1.2,58.8460283713318,1.39275976580603,565.693237627503,1.01581930442365,7.09317365269461,14,100.133795542773,87.5,23.1204006541105,14.8130138391625,0.19,1.79,5.9,0.09,0.52,0.3,163.327444815737,143.140514046958,35.45,250034.447665535,362.5,2.55,58.5782592623909,2.37,2.39040187409304,4.524,0,2212.51879306374,325,6400,0.1,2.06266919979652,79.85,34.1241000231273,288.08955829752,29,0.12,0.23,17.09829,0.505,32.66,0.65,1.47,15.41,2.20678424476555,354.977001597516,1438.42257373632,6.22669891618296,0.35,9.07811062309241,8.07417378170605,0.001,2.61711010221564,4.43939835366294,0.31,379.615629148855,10.5
2008-01-07,85.0158956579552,4.70235473084976,0.320733819930763,81.1220024058447,2.21461285302567,16.1411886155071,0.531543695116664,4.37072201385989,0.806896840928152,9.14730527741871,0.29615,3.32233944050865,0.00647266267701308,0.109,6.10680389688536,0.220668859649123,0.351215930227544,0.305204323313619,3.258,13.1527351359499,0.352041721369609,5.15,11.9308731950065,16.4999,16.6238409589979,2419.95,0.103,2103.96590698853,67.9634579427308,19.35,2425.46844125167,9.28,227.378893769228,3.5,17.4,1619.08885530075,1623.09140957763,68.5,0.015,33.4163711284588,5.96346682821077,7.99139784946237,11.8,50,7.7,7.98222339096853,7.23,7.06214812775967,0.6,89.5851350604521,0.23,0.25,0.1,0.22039603960396,0.16,373.285549286454,0.08,1.2,58.8460283713318,1.35179624328232,565.693237627503,1.00196722299969,7.10291702309666,14,97.3148094762447,87.5,22.3091585258961,14.4041226165005,0.19,1.87,5.96,0.07,0.52,0.3,163.327444815737,143.140514046958,37.2,245633.028816988,352.15,2.57,60.2639645649058,2.3,2.39040187409304,4.5,0,2212.51879306374,325,6400,0.1,2.02680236262016,79.85,33.5702635320391,278.288573324511,32,0.11,0.23,17.09829,0.505,34.139999,0.63,1.5,16.23,2.16372613464097,339.107441526098,1379.33890248104,6.16415394939095,0.35,8.92800013247435,8.10685755524895,0.001,2.63793370532155,4.26530430057812,0.31,359.133215804704,10.35
2008-01-08,82.3543962411141,4.71411061767689,0.308550238801367,80.7975143962213,2.1946613858813,15.7282744881337,0.541864931915046,4.38592677629234,0.806896840928152,9.19362782776824,0.30109,3.36052725016967,0.00321261600145465,0.094,5.91007898497095,0.220668859649123,0.351215930227544,0.300508872185717,3.244,13.3461577114786,0.344997255774384,5.19,12.0104123496399,16.6499,16.2949952314987,2333.95,0.103,2041.80327791842,66.4342801390193,19.35,2393.86936562541,8.92,218.031272936147,3.2,16.55,1586.30880743285,1591.53976009311,69,0.015,33.4163711284588,5.98159289474951,7.99139784946237,12,48,7.7,7.98222339096853,7.25,6.7719228622353,0.6,83.8126663177956,0.2,0.25,0.1,0.25990099009901,0.16,373.285549286454,0.08,1.2,58.403577030194,1.34819145330023,539.84006422365,1.00196722299969,6.98599657827203,14,99.4665347533741,82.5,22.2767088407676,14.4041226165005,0.18,1.96,5.98,0.06,0.52,0.3,137.276717367627,134.485126432025,39.05,249695.876984877,350,2.56,60.0532514020914,2.25,2.39040187409304,4.48,0,2212.51879306374,325,6400,0.1,1.99092975443219,75.9,33.2376930873874,277.397574690601,36,0.11,0.2,17.09829,0.505,33.240002,0.6,1.49,15.87,2.12604823581071,330.755041488509,1382.26498010415,6.14330562712694,0.35,8.90655577667177,8.01072880953454,0.001,2.60322770014503,4.30487113082467,0.23,361.735015012008,9.75
2008-01-09,83.190867486407,4.66708707036839,0.308550238801367,80.6352703914097,2.17470991873692,15.8784250799058,0.547025550314237,4.484741347661,0.806896840928152,9.3015681101865,0.30109,3.33761456437306,0.0031892255320336,0.105,6.22976722745691,0.220668859649123,0.351215930227544,0.300508872185717,3.244,13.2490088160773,0.344997255774384,5.17,12.0501819269566,16.4499,16.3680964171508,2250,0.105,2217.77133559382,67.9634579427308,19.7,2374.71841070041,8.72,218.048824099342,3.1,15.75,1569.66872765524,1564.85270209972,67.4,0.015,33.4163711284588,5.98159289474951,7.99139784946237,12,47.5,7.7,7.98222339096853,7.24,6.76270936174246,0.599,87.7057266326105,0.3,0.25,0.1,0.25990099009901,0.16,373.285549286454,0.08,1.2,57.9611256890561,1.36818984499631,521.033245183226,0.992732502050386,6.98599657827203,14,99.1966343684298,85,21.6601648233246,14.8687717331618,0.19,2.05,5.73,0.06,0.5,0.3,126.537937870992,126.56463021836,41,256044.077247205,350,2.49,61.7389567046062,2.28,2.3512149581243,4.462,0,2212.51879306374,325,6400,0.1,1.955045604221,72.15,32.5764399773984,262.349597762346,32.5,0.11,0.2,17.09829,0.505,33.290001,0.6,1.35,15.57,2.15296023879566,312.379761405814,1382.26498010415,6.01821569354291,0.35,9.07811062309241,8.01072880953454,0.001,2.58239569364803,4.3286112289726,0.23,346.155101657882,9.45
2008-01-10,80.2251967076411,4.73174444791757,0.332917401060159,81.1220024058447,2.07495258301504,15.5030486004754,0.541864931915046,4.43913525258479,0.823884142842429,9.48668350950785,0.30602,3.29942675471204,0.00588432739754758,0.102,6.62322525978576,0.220668859649123,0.351215930227544,0.300508872185717,3.258,13.0555862405486,0.344997255774384,5.53,12.0899515042733,16.9999,16.4046104739984,2175,0.101,2237.80682911719,66.6041887838762,18.5,2372.80331520791,8.2,202.660278772361,3.1,15,1491.24212214604,1495.74822484255,66.99,0.015,32.2261990060754,5.96346682821077,7.49193548387097,11.5,47.5,7.7,7.98222339096853,7.28,6.66596760656767,0.605,80.6803189380595,0.3,0.25,0.1,0.230792079207921,0.19,373.285549286454,0.08,1.2,57.9611256890561,1.36818984499631,496.222138269739,1.00196722299969,7.02497005988024,14,98.7842816223789,82.5,21.6601648233246,14.4598805104999,0.19,2.15,5.67,0.06,0.5,0.3,126.6196015934,125.503120416529,43.05,246733.383529124,350,2.4,60.4746777277201,2.26,2.23365421021809,4.41,0,1911.46332014146,325,6400,0.1,1.86536985476269,68.55,32.0902244553477,255.063208933928,31,0.11,0.22,17.09829,0.505,33.790001,0.61,1.38,15,2.15296023879566,307.368321383261,1389.16152669056,5.9765190490149,0.35,8.87081518366747,7.85051423334385,0.001,2.58239569364803,4.19408400613433,0.23,334.32733790242,9.6
2008-01-11,79.8449825052352,4.61418557964633,0.332917401060159,80.9191973998301,2.04502538229848,15.2778227128172,0.541864931915046,4.41632810893611,0.823884142842429,9.90314945746168,0.30602,3.38343993596628,0.00551950104810541,0.107,6.61502496824765,0.220668859649123,0.351215930227544,0.305204323313619,3.232,12.3790448338352,0.337960052514824,5.91,12.0501819269566,16.5999,16.2949952314987,2140,0.108,2295.23553489658,68.3882295548728,19.2,2345.9919783129,8.12,207.1823663535,3.1,14.3,1488.19598732336,1504.74999227474,67,0.015,32.5924058129626,5.96346682821077,6.95251612903226,11.05,45,7.7,7.97660606275532,7.28,6.76731611198888,0.6,78.9799017890599,0.3,0.25,0.1,0.230792079207921,0.19,373.285549286454,0.08,1.2,57.9611256890561,1.36818984499631,504.161692482055,0.992732502050386,7.04445680068435,14,94.3683753858791,85,22.3091585258961,14.4970524398328,0.19,2.25,5.66,0.09,0.5,0.3,116.615795598436,116.766078201455,45.2,237591.975151373,352.5,2.39,60.4746777277201,2.26,2.3512149581243,4.35,0,1863.67673713793,325,6400,0.1,1.84743355066871,65.15,32.0707758344657,265.319593208712,32.5,0.11,0.24,17.09829,0.505,33.009998,0.65,1.35,15.18,2.15296023879566,299.015921345673,1384.23542198598,5.96262016750556,0.35,8.89940765807091,7.85051423334385,0.002,2.58239569364803,4.03581668514813,0.15,327.981109568876,10.5
2008-01-14,80.9856251124529,4.70235473084976,0.361337383433472,79.2561963505103,1.84551071085473,15.6907368401906,0.547025550314237,4.41632810893611,0.832377793799568,10.3350853892115,0.29615,3.34525212630526,0.00529566725045123,0.119,6.36911472410462,0.220668859649123,0.351215930227544,0.300508872185717,3.128,11.8950507873766,0.334437819717212,6.32,12.8853430506071,17.4499,16.2219744249992,2100,0.1,2338.27120117589,69.0253869730859,19,2364.18538549166,8,212.812321960932,3.5,14.15,1490.46922226566,1491.20187765458,68.89,0.015,32.5008541112408,5.96346682821077,7.69172043010753,11,45,7.7,7.93166743704965,7.24,6.83641736568516,0.597,76.2502847867185,0.3,0.25,0.1,0.230792079207921,0.19,373.285549286454,0.08,1.2,56.6337716656426,1.34360353877758,495.2296939932,0.978880420626427,6.96650983746792,14,95.1331055137585,85,22.471406951539,14.5342243691657,0.18,2.36,5.65,0.06,0.5,0.3,116.125813263989,114.643058597792,47.45,237591.975151373,350,2.44,61.5282435417919,2.15,2.28851589257432,4.212,0,2387.51326002269,325,6400,0.1,1.76672018224578,62.25,30.7677172629387,277.001575297752,36,0.1,0.23,14.69853,0.505,33.139999,0.67,1.35,16.040001,2.15296023879566,300.268781351311,1380.29453822232,5.87227743769487,0.35,8.67066786284339,7.85051423334385,0.001,2.52686608536559,3.89337609626055,0.55,340.387908756231,9.75
